#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BTK	TNFRSF11A	9606.ENSP00000483570	9606.ENSP00000465500	0	0	0	0	0	0.050	0	0.401	0.406
BTK	CCL4	9606.ENSP00000483570	9606.ENSP00000482259	0	0	0	0	0.222	0	0	0.310	0.440
BTK	PLCG2	9606.ENSP00000483570	9606.ENSP00000482457	0	0	0	0	0.108	0.472	0.900	0.842	0.991
BTK	IKBKG	9606.ENSP00000483570	9606.ENSP00000483825	0	0	0	0	0	0.129	0.800	0.297	0.866
CARD10	PRKCQ	9606.ENSP00000384570	9606.ENSP00000263125	0	0	0	0	0	0	0.800	0.231	0.839
CARD10	PRKCB	9606.ENSP00000384570	9606.ENSP00000305355	0	0	0	0	0.063	0.185	0.800	0.106	0.845
CARD10	MALT1	9606.ENSP00000384570	9606.ENSP00000319279	0	0	0	0	0	0.299	0.900	0.670	0.974
CARD10	IRAK1	9606.ENSP00000384570	9606.ENSP00000358997	0	0	0	0	0.067	0.133	0	0.402	0.474
CARD10	CARD11	9606.ENSP00000384570	9606.ENSP00000380150	0	0	0	0.838	0	0	0.900	0.727	0.911
CARD10	IKBKG	9606.ENSP00000384570	9606.ENSP00000483825	0	0	0	0	0	0.313	0	0.399	0.569
CARD10	IKBKB	9606.ENSP00000384570	9606.ENSP00000430684	0	0	0	0	0	0.157	0	0.529	0.585
CARD10	CARD14	9606.ENSP00000384570	9606.ENSP00000458715	0	0	0	0.665	0	0	0.800	0.791	0.852
CARD11	TAB1	9606.ENSP00000380150	9606.ENSP00000216160	0.044	0	0	0	0.046	0.048	0.900	0.297	0.927
CARD11	NFKBIA	9606.ENSP00000380150	9606.ENSP00000216797	0	0	0	0	0.061	0.073	0.900	0.350	0.935
CARD11	RELB	9606.ENSP00000380150	9606.ENSP00000221452	0	0	0	0	0.076	0	0	0.543	0.559
CARD11	NFKB1	9606.ENSP00000380150	9606.ENSP00000226574	0	0	0	0	0	0.073	0.900	0.365	0.936
CARD11	RIPK1	9606.ENSP00000380150	9606.ENSP00000259808	0	0	0	0	0.059	0.261	0	0.291	0.463
CARD11	TRAF5	9606.ENSP00000380150	9606.ENSP00000261464	0	0	0	0	0.061	0	0	0.400	0.412
CARD11	PRKCQ	9606.ENSP00000380150	9606.ENSP00000263125	0	0	0	0	0.076	0.379	0.900	0.921	0.994
CARD11	ZAP70	9606.ENSP00000380150	9606.ENSP00000264972	0	0	0	0	0.160	0.438	0	0.565	0.777
CARD11	TNFRSF13C	9606.ENSP00000380150	9606.ENSP00000291232	0	0	0	0	0.065	0	0	0.420	0.434
CARD11	PRKCB	9606.ENSP00000380150	9606.ENSP00000305355	0	0	0	0	0.095	0.456	0.900	0.420	0.967
CARD11	MALT1	9606.ENSP00000380150	9606.ENSP00000319279	0	0	0	0	0.061	0.485	0.900	0.924	0.995
CARD11	LCK	9606.ENSP00000380150	9606.ENSP00000337825	0	0	0	0	0.173	0.133	0	0.516	0.623
CARD11	TAB2	9606.ENSP00000380150	9606.ENSP00000356426	0	0	0	0	0.061	0	0.900	0.388	0.937
CARD11	MAP3K7	9606.ENSP00000380150	9606.ENSP00000358335	0	0	0	0	0	0.472	0.900	0.399	0.965
CARD11	NFKB2	9606.ENSP00000380150	9606.ENSP00000358983	0	0	0	0	0.065	0.073	0	0.474	0.504
CARD11	IRAK1	9606.ENSP00000380150	9606.ENSP00000358997	0	0	0	0	0.061	0.133	0	0.402	0.470
CARD11	CHUK	9606.ENSP00000380150	9606.ENSP00000359424	0	0	0	0	0.055	0.470	0.900	0.322	0.961
CARD11	CD40	9606.ENSP00000380150	9606.ENSP00000361359	0	0	0	0	0.097	0	0	0.430	0.463
CARD11	TRAF1	9606.ENSP00000380150	9606.ENSP00000362994	0	0	0	0	0.126	0.148	0	0.259	0.400
CARD11	TLR4	9606.ENSP00000380150	9606.ENSP00000363089	0	0	0	0	0.156	0.074	0	0.318	0.420
CARD11	SYK	9606.ENSP00000380150	9606.ENSP00000364907	0	0	0	0	0.097	0.133	0	0.557	0.623
CARD11	TNFSF13B	9606.ENSP00000380150	9606.ENSP00000365048	0	0	0	0	0.088	0	0	0.389	0.418
CARD11	TAB3	9606.ENSP00000380150	9606.ENSP00000368215	0	0	0	0	0.050	0.313	0.900	0.243	0.943
CARD11	IRAK4	9606.ENSP00000380150	9606.ENSP00000390651	0	0	0	0	0.061	0.133	0	0.358	0.431
CARD11	TRAF3	9606.ENSP00000380150	9606.ENSP00000454207	0	0	0	0	0	0	0	0.481	0.481
CARD11	LYN	9606.ENSP00000380150	9606.ENSP00000428924	0	0	0	0	0.076	0.133	0	0.419	0.493
CARD11	CYLD	9606.ENSP00000380150	9606.ENSP00000392025	0	0	0	0	0	0	0	0.542	0.542
CARD11	MYD88	9606.ENSP00000380150	9606.ENSP00000401399	0	0	0	0	0.101	0	0	0.582	0.608
CARD11	TNFAIP3	9606.ENSP00000380150	9606.ENSP00000481570	0	0	0	0	0.088	0	0	0.647	0.664
CARD11	CARD14	9606.ENSP00000380150	9606.ENSP00000458715	0	0	0	0.769	0	0	0.800	0.677	0.830
CARD11	RELA	9606.ENSP00000380150	9606.ENSP00000384273	0	0	0	0	0.065	0	0.900	0.511	0.950
CARD11	IKBKB	9606.ENSP00000380150	9606.ENSP00000430684	0	0	0	0	0.062	0.332	0.900	0.500	0.964
CARD11	IKBKG	9606.ENSP00000380150	9606.ENSP00000483825	0	0	0	0	0.046	0.860	0.900	0.588	0.993
CARD14	PRKCQ	9606.ENSP00000458715	9606.ENSP00000263125	0	0	0	0	0	0	0.800	0.297	0.853
CARD14	PRKCB	9606.ENSP00000458715	9606.ENSP00000305355	0	0	0	0	0.063	0.185	0.800	0	0.833
CARD14	MALT1	9606.ENSP00000458715	9606.ENSP00000319279	0	0	0	0	0	0.472	0	0.558	0.757
CARD14	IKBKB	9606.ENSP00000458715	9606.ENSP00000430684	0	0	0	0	0	0.157	0	0.387	0.461
CARD14	TNFAIP3	9606.ENSP00000458715	9606.ENSP00000481570	0	0	0	0	0	0	0	0.414	0.414
CCL13	VCAM1	9606.ENSP00000225844	9606.ENSP00000294728	0	0	0	0	0.070	0	0	0.398	0.416
CCL13	TNF	9606.ENSP00000225844	9606.ENSP00000398698	0	0	0	0	0.121	0	0	0.672	0.700
CCL13	IL1B	9606.ENSP00000225844	9606.ENSP00000263341	0	0	0	0	0.386	0	0	0.650	0.776
CCL13	CCL4L1	9606.ENSP00000225844	9606.ENSP00000483609	0	0	0	0.906	0	0	0.900	0.713	0.906
CCL13	CCL4	9606.ENSP00000225844	9606.ENSP00000482259	0	0	0	0.902	0.114	0	0.900	0.670	0.913
CCL13	CXCL2	9606.ENSP00000225844	9606.ENSP00000427279	0	0	0	0	0.095	0	0.900	0.453	0.946
CCL13	CXCL3	9606.ENSP00000225844	9606.ENSP00000296026	0	0	0	0	0.095	0	0.900	0.476	0.948
CCL13	CXCL1	9606.ENSP00000225844	9606.ENSP00000379110	0	0	0	0	0.097	0	0.900	0.560	0.956
CCL13	CXCL8	9606.ENSP00000225844	9606.ENSP00000306512	0	0	0	0	0.083	0	0.900	0.592	0.959
CCL13	CXCL12	9606.ENSP00000225844	9606.ENSP00000379140	0	0	0	0	0.076	0.221	0.900	0.538	0.962
CCL13	CCL19	9606.ENSP00000225844	9606.ENSP00000308815	0	0	0	0	0.226	0	0.900	0.564	0.963
CCL13	CCL21	9606.ENSP00000225844	9606.ENSP00000259607	0	0	0	0	0.173	0.221	0.900	0.540	0.966
CCL19	RELB	9606.ENSP00000308815	9606.ENSP00000221452	0	0	0	0	0.077	0	0	0.424	0.445
CCL19	CCL21	9606.ENSP00000308815	9606.ENSP00000259607	0	0	0	0.844	0.547	0	0.900	0.922	0.959
CCL19	IL1B	9606.ENSP00000308815	9606.ENSP00000263341	0	0	0	0	0.065	0	0	0.410	0.424
CCL19	ICAM1	9606.ENSP00000308815	9606.ENSP00000264832	0	0	0	0	0.049	0	0	0.560	0.564
CCL19	ZAP70	9606.ENSP00000308815	9606.ENSP00000264972	0	0	0	0	0.191	0	0	0.293	0.403
CCL19	VCAM1	9606.ENSP00000308815	9606.ENSP00000294728	0	0	0	0	0.195	0	0	0.561	0.631
CCL19	CXCL3	9606.ENSP00000308815	9606.ENSP00000296026	0	0	0	0	0.061	0	0.900	0.485	0.947
CCL19	CXCL8	9606.ENSP00000308815	9606.ENSP00000306512	0	0	0	0	0.061	0	0.900	0.572	0.956
CCL19	TNFSF11	9606.ENSP00000308815	9606.ENSP00000381775	0	0	0	0	0.062	0	0	0.397	0.410
CCL19	LTA	9606.ENSP00000308815	9606.ENSP00000403495	0	0	0	0	0.065	0	0	0.399	0.414
CCL19	LTB	9606.ENSP00000308815	9606.ENSP00000410481	0	0	0	0	0.076	0	0	0.445	0.465
CCL19	TLR4	9606.ENSP00000308815	9606.ENSP00000363089	0	0	0	0	0.080	0	0	0.472	0.493
CCL19	TNF	9606.ENSP00000308815	9606.ENSP00000398698	0	0	0	0	0.065	0	0	0.571	0.581
CCL19	TNFSF13B	9606.ENSP00000308815	9606.ENSP00000365048	0	0	0	0	0.084	0	0	0.566	0.586
CCL19	CD40	9606.ENSP00000308815	9606.ENSP00000361359	0	0	0	0	0.095	0	0	0.570	0.594
CCL19	CD40LG	9606.ENSP00000308815	9606.ENSP00000359663	0	0	0	0	0.142	0	0	0.555	0.601
CCL19	CCL4L1	9606.ENSP00000308815	9606.ENSP00000483609	0	0	0	0.801	0.079	0	0.900	0.272	0.908
CCL19	CCL4	9606.ENSP00000308815	9606.ENSP00000482259	0	0	0	0.793	0.174	0	0.900	0.691	0.925
CCL19	CXCL2	9606.ENSP00000308815	9606.ENSP00000427279	0	0	0	0	0.061	0	0.900	0.545	0.953
CCL19	CXCL1	9606.ENSP00000308815	9606.ENSP00000379110	0	0	0	0	0.061	0	0.900	0.581	0.957
CCL19	CXCL12	9606.ENSP00000308815	9606.ENSP00000379140	0	0	0	0	0.100	0	0.900	0.759	0.976
CCL21	TNFSF11	9606.ENSP00000259607	9606.ENSP00000381775	0	0	0	0	0	0	0	0.400	0.400
CCL21	LTB	9606.ENSP00000259607	9606.ENSP00000410481	0	0	0	0	0.080	0	0	0.381	0.407
CCL21	TLR4	9606.ENSP00000259607	9606.ENSP00000363089	0	0	0	0	0.062	0	0	0.455	0.466
CCL21	CD40LG	9606.ENSP00000259607	9606.ENSP00000359663	0	0	0	0	0	0.050	0	0.527	0.531
CCL21	TNFSF13B	9606.ENSP00000259607	9606.ENSP00000365048	0	0	0	0	0.062	0	0	0.534	0.544
CCL21	TNF	9606.ENSP00000259607	9606.ENSP00000398698	0	0	0	0	0.054	0	0	0.570	0.575
CCL21	CD40	9606.ENSP00000259607	9606.ENSP00000361359	0	0	0	0	0.061	0	0	0.566	0.575
CCL21	ICAM1	9606.ENSP00000259607	9606.ENSP00000264832	0	0	0	0	0.061	0	0	0.590	0.599
CCL21	VCAM1	9606.ENSP00000259607	9606.ENSP00000294728	0	0	0	0	0.122	0	0	0.566	0.603
CCL21	CCL4L1	9606.ENSP00000259607	9606.ENSP00000483609	0	0	0	0.827	0.062	0	0.900	0.354	0.907
CCL21	CCL4	9606.ENSP00000259607	9606.ENSP00000482259	0	0	0	0.825	0.062	0	0.900	0.622	0.912
CCL21	CXCL3	9606.ENSP00000259607	9606.ENSP00000296026	0	0	0	0	0.055	0.069	0.900	0.449	0.945
CCL21	CXCL1	9606.ENSP00000259607	9606.ENSP00000379110	0	0	0	0	0.055	0.069	0.900	0.540	0.954
CCL21	CXCL8	9606.ENSP00000259607	9606.ENSP00000306512	0	0	0	0	0.055	0.069	0.900	0.573	0.957
CCL21	CXCL2	9606.ENSP00000259607	9606.ENSP00000427279	0	0	0	0	0.055	0.223	0.900	0.519	0.960
CCL21	CXCL12	9606.ENSP00000259607	9606.ENSP00000379140	0	0	0	0	0.098	0.221	0.900	0.790	0.983
CCL4	TNFRSF1A	9606.ENSP00000482259	9606.ENSP00000162749	0	0	0	0	0.061	0	0	0.440	0.451
CCL4	NFKBIA	9606.ENSP00000482259	9606.ENSP00000216797	0	0	0	0	0.156	0	0	0.330	0.410
CCL4	PLCG1	9606.ENSP00000482259	9606.ENSP00000244007	0	0	0	0	0.053	0	0.900	0.089	0.906
CCL4	IL1B	9606.ENSP00000482259	9606.ENSP00000263341	0	0	0	0	0.619	0	0	0.839	0.936
CCL4	ICAM1	9606.ENSP00000482259	9606.ENSP00000264832	0	0	0	0	0.096	0	0	0.581	0.605
CCL4	VCAM1	9606.ENSP00000482259	9606.ENSP00000294728	0	0	0	0	0.136	0	0	0.531	0.577
CCL4	CXCL3	9606.ENSP00000482259	9606.ENSP00000296026	0	0	0	0	0.165	0	0.900	0.617	0.965
CCL4	CD14	9606.ENSP00000482259	9606.ENSP00000304236	0	0	0	0	0.327	0	0	0.225	0.456
CCL4	CXCL8	9606.ENSP00000482259	9606.ENSP00000306512	0	0	0	0	0.211	0.379	0.900	0.838	0.991
CCL4	PTGS2	9606.ENSP00000482259	9606.ENSP00000356438	0	0	0	0	0.110	0	0	0.438	0.479
CCL4	CD40LG	9606.ENSP00000482259	9606.ENSP00000359663	0	0	0	0	0.108	0.124	0	0.553	0.620
CCL4	CD40	9606.ENSP00000482259	9606.ENSP00000361359	0	0	0	0	0.109	0	0	0.556	0.588
CCL4	TLR4	9606.ENSP00000482259	9606.ENSP00000363089	0	0	0	0	0.201	0	0	0.593	0.661
CCL4	TNFSF13B	9606.ENSP00000482259	9606.ENSP00000365048	0	0	0	0	0.139	0	0	0.356	0.421
CCL4	CXCL1	9606.ENSP00000482259	9606.ENSP00000379110	0	0	0	0	0.165	0	0.900	0.759	0.978
CCL4	CXCL12	9606.ENSP00000482259	9606.ENSP00000379140	0	0	0	0	0	0	0.900	0.673	0.965
CCL4	IL1R1	9606.ENSP00000482259	9606.ENSP00000386380	0	0	0	0	0	0	0	0.422	0.422
CCL4	TNF	9606.ENSP00000482259	9606.ENSP00000398698	0	0	0	0	0.467	0	0	0.841	0.912
CCL4	MYD88	9606.ENSP00000482259	9606.ENSP00000401399	0	0	0	0	0.081	0	0	0.491	0.512
CCL4	LTA	9606.ENSP00000482259	9606.ENSP00000403495	0	0	0	0	0.250	0	0	0.461	0.579
CCL4	CXCL2	9606.ENSP00000482259	9606.ENSP00000427279	0	0	0	0	0.218	0	0.900	0.745	0.978
CCL4	TNFAIP3	9606.ENSP00000482259	9606.ENSP00000481570	0	0	0	0	0.175	0	0	0.341	0.433
CCL4	CCL4L1	9606.ENSP00000482259	9606.ENSP00000483609	0	0	0	0.982	0	0	0.900	0.624	0.901
CCL4L1	IL1B	9606.ENSP00000483609	9606.ENSP00000263341	0	0	0	0	0.477	0	0	0.826	0.905
CCL4L1	ICAM1	9606.ENSP00000483609	9606.ENSP00000264832	0	0	0	0	0	0	0	0.421	0.421
CCL4L1	CXCL3	9606.ENSP00000483609	9606.ENSP00000296026	0	0	0	0	0.134	0	0.900	0.258	0.930
CCL4L1	CXCL8	9606.ENSP00000483609	9606.ENSP00000306512	0	0	0	0	0.148	0	0.900	0.746	0.976
CCL4L1	CD40LG	9606.ENSP00000483609	9606.ENSP00000359663	0	0	0	0	0.063	0.124	0	0.380	0.447
CCL4L1	TLR4	9606.ENSP00000483609	9606.ENSP00000363089	0	0	0	0	0.147	0	0	0.366	0.436
CCL4L1	CXCL1	9606.ENSP00000483609	9606.ENSP00000379110	0	0	0	0	0.134	0	0.900	0.577	0.960
CCL4L1	CXCL12	9606.ENSP00000483609	9606.ENSP00000379140	0	0	0	0	0	0	0.900	0.449	0.942
CCL4L1	TNF	9606.ENSP00000483609	9606.ENSP00000398698	0	0	0	0	0.193	0	0	0.804	0.836
CCL4L1	LTA	9606.ENSP00000483609	9606.ENSP00000403495	0	0	0	0	0.111	0	0	0.457	0.496
CCL4L1	CXCL2	9606.ENSP00000483609	9606.ENSP00000427279	0	0	0	0	0.134	0	0.900	0.345	0.938
CD14	TAB1	9606.ENSP00000304236	9606.ENSP00000216160	0	0	0	0	0	0	0.900	0.043	0.900
CD14	LBP	9606.ENSP00000304236	9606.ENSP00000217407	0	0	0	0	0.063	0.379	0.900	0.712	0.980
CD14	TICAM1	9606.ENSP00000304236	9606.ENSP00000248244	0	0	0	0	0.088	0	0.900	0.145	0.915
CD14	RIPK1	9606.ENSP00000304236	9606.ENSP00000259808	0	0	0	0	0.061	0	0.900	0.042	0.902
CD14	IL1B	9606.ENSP00000304236	9606.ENSP00000263341	0	0	0	0	0.257	0	0	0.405	0.539
CD14	LY96	9606.ENSP00000304236	9606.ENSP00000284818	0	0	0	0	0.152	0	0.900	0.579	0.961
CD14	CD40	9606.ENSP00000304236	9606.ENSP00000361359	0	0	0	0	0.071	0	0	0.390	0.410
CD14	CXCL8	9606.ENSP00000304236	9606.ENSP00000306512	0	0	0	0	0.108	0	0	0.414	0.456
CD14	TNF	9606.ENSP00000304236	9606.ENSP00000398698	0	0	0	0	0.119	0	0	0.572	0.607
CD14	TAB3	9606.ENSP00000304236	9606.ENSP00000368215	0	0	0	0	0	0	0.900	0.044	0.900
CD14	TRAF3	9606.ENSP00000304236	9606.ENSP00000454207	0	0	0	0	0	0	0.900	0.059	0.901
CD14	TAB2	9606.ENSP00000304236	9606.ENSP00000356426	0	0	0	0	0	0	0.900	0.062	0.902
CD14	IKBKG	9606.ENSP00000304236	9606.ENSP00000483825	0	0	0	0	0.065	0	0.900	0.059	0.904
CD14	IKBKB	9606.ENSP00000304236	9606.ENSP00000430684	0	0	0	0	0.061	0	0.900	0.067	0.904
CD14	MAP3K7	9606.ENSP00000304236	9606.ENSP00000358335	0	0	0	0	0	0	0.900	0.101	0.906
CD14	CHUK	9606.ENSP00000304236	9606.ENSP00000359424	0	0	0	0	0.061	0	0.900	0.103	0.908
CD14	IRAK1	9606.ENSP00000304236	9606.ENSP00000358997	0	0	0	0	0.046	0	0.900	0.261	0.923
CD14	TIRAP	9606.ENSP00000304236	9606.ENSP00000376445	0	0	0	0	0	0	0.900	0.275	0.924
CD14	TICAM2	9606.ENSP00000304236	9606.ENSP00000415139	0	0	0	0	0.077	0	0.900	0.298	0.929
CD14	MYD88	9606.ENSP00000304236	9606.ENSP00000401399	0	0	0	0	0.091	0	0.900	0.482	0.948
CD14	PLCG2	9606.ENSP00000304236	9606.ENSP00000482457	0	0	0	0	0.098	0	0.900	0.501	0.951
CD14	TLR4	9606.ENSP00000304236	9606.ENSP00000363089	0	0	0	0	0.264	0.472	0.900	0.758	0.989
CD40	TNFRSF1A	9606.ENSP00000361359	9606.ENSP00000162749	0	0	0	0	0.062	0	0	0.769	0.774
CD40	NFKBIA	9606.ENSP00000361359	9606.ENSP00000216797	0	0	0	0	0.083	0	0.900	0.474	0.947
CD40	RELB	9606.ENSP00000361359	9606.ENSP00000221452	0	0	0	0	0.091	0	0	0.673	0.690
CD40	NFKB1	9606.ENSP00000361359	9606.ENSP00000226574	0	0	0	0	0.064	0	0.900	0.493	0.948
CD40	TRAF2	9606.ENSP00000361359	9606.ENSP00000247668	0	0	0	0	0.085	0.829	0.900	0.731	0.995
CD40	EDAR	9606.ENSP00000361359	9606.ENSP00000258443	0	0	0	0	0	0	0	0.469	0.469
CD40	RIPK1	9606.ENSP00000361359	9606.ENSP00000259808	0	0	0	0	0.061	0.190	0	0.380	0.487
CD40	TRAF5	9606.ENSP00000361359	9606.ENSP00000261464	0	0	0	0	0.062	0.709	0.540	0.587	0.941
CD40	IL1B	9606.ENSP00000361359	9606.ENSP00000263341	0	0	0	0	0.164	0	0	0.636	0.683
CD40	ICAM1	9606.ENSP00000361359	9606.ENSP00000264832	0	0	0	0	0.107	0	0	0.867	0.876
CD40	ZAP70	9606.ENSP00000361359	9606.ENSP00000264972	0	0	0	0	0.062	0.124	0	0.442	0.501
CD40	TNFRSF13C	9606.ENSP00000361359	9606.ENSP00000291232	0	0	0	0	0.061	0	0	0.674	0.681
CD40	VCAM1	9606.ENSP00000361359	9606.ENSP00000294728	0	0	0	0	0.085	0	0	0.633	0.650
CD40	CXCL8	9606.ENSP00000361359	9606.ENSP00000306512	0	0	0	0	0.088	0	0	0.688	0.703
CD40	MALT1	9606.ENSP00000361359	9606.ENSP00000319279	0	0	0	0	0.062	0	0	0.400	0.413
CD40	LCK	9606.ENSP00000361359	9606.ENSP00000337825	0	0	0	0	0.062	0.124	0	0.420	0.482
CD40	TRADD	9606.ENSP00000361359	9606.ENSP00000341268	0	0	0	0	0	0	0	0.473	0.473
CD40	PTGS2	9606.ENSP00000361359	9606.ENSP00000356438	0	0	0	0	0.063	0	0	0.444	0.456
CD40	MAP3K7	9606.ENSP00000361359	9606.ENSP00000358335	0	0	0	0	0	0.776	0	0.315	0.840
CD40	NFKB2	9606.ENSP00000361359	9606.ENSP00000358983	0	0	0	0	0.085	0	0	0.646	0.662
CD40	IRAK1	9606.ENSP00000361359	9606.ENSP00000358997	0	0	0	0	0	0.124	0	0.507	0.549
CD40	CHUK	9606.ENSP00000361359	9606.ENSP00000359424	0	0	0	0	0.063	0.820	0.540	0.402	0.947
CD40	CD40LG	9606.ENSP00000361359	9606.ENSP00000359663	0	0	0	0	0.061	0.870	0.900	0.974	0.999
CD40	DDX58	9606.ENSP00000361359	9606.ENSP00000369213	0	0	0	0	0.064	0	0	0.457	0.470
CD40	EDA2R	9606.ENSP00000361359	9606.ENSP00000379365	0	0	0	0	0	0	0	0.470	0.470
CD40	CYLD	9606.ENSP00000361359	9606.ENSP00000392025	0	0	0	0	0	0	0	0.500	0.499
CD40	IRAK4	9606.ENSP00000361359	9606.ENSP00000390651	0	0	0	0	0	0.124	0	0.453	0.501
CD40	CXCL2	9606.ENSP00000361359	9606.ENSP00000427279	0	0	0	0	0.086	0	0	0.500	0.524
CD40	CXCL12	9606.ENSP00000361359	9606.ENSP00000379140	0	0	0	0	0	0	0	0.530	0.530
CD40	MAP3K14	9606.ENSP00000361359	9606.ENSP00000482657	0	0	0	0	0.061	0.353	0	0.303	0.539
CD40	IL1R1	9606.ENSP00000361359	9606.ENSP00000386380	0	0	0	0	0	0	0	0.546	0.546
CD40	LYN	9606.ENSP00000361359	9606.ENSP00000428924	0	0	0	0	0.096	0.124	0	0.479	0.552
CD40	CXCL1	9606.ENSP00000361359	9606.ENSP00000379110	0	0	0	0	0.096	0	0	0.544	0.570
CD40	SYK	9606.ENSP00000361359	9606.ENSP00000364907	0	0	0	0	0.081	0.124	0	0.564	0.619
CD40	LTA	9606.ENSP00000361359	9606.ENSP00000403495	0	0	0	0	0.143	0	0	0.584	0.629
CD40	TNFAIP3	9606.ENSP00000361359	9606.ENSP00000481570	0	0	0	0	0.108	0.157	0	0.553	0.634
CD40	TNFSF11	9606.ENSP00000361359	9606.ENSP00000381775	0	0	0	0	0	0	0	0.751	0.751
CD40	TNFSF13B	9606.ENSP00000361359	9606.ENSP00000365048	0	0	0	0	0.061	0	0	0.758	0.763
CD40	TLR4	9606.ENSP00000361359	9606.ENSP00000363089	0	0	0	0	0.084	0	0	0.797	0.806
CD40	MYD88	9606.ENSP00000361359	9606.ENSP00000401399	0	0	0	0	0.061	0	0	0.812	0.816
CD40	IKBKG	9606.ENSP00000361359	9606.ENSP00000483825	0	0	0	0	0	0.776	0	0.563	0.897
CD40	TNF	9606.ENSP00000361359	9606.ENSP00000398698	0	0	0	0	0.163	0	0	0.917	0.928
CD40	IKBKB	9606.ENSP00000361359	9606.ENSP00000430684	0	0	0	0	0.063	0.820	0.540	0.428	0.949
CD40	RELA	9606.ENSP00000361359	9606.ENSP00000384273	0	0	0	0	0	0	0.900	0.732	0.972
CD40	TRAF1	9606.ENSP00000361359	9606.ENSP00000362994	0	0	0	0	0.180	0.709	0.900	0.798	0.994
CD40	TRAF3	9606.ENSP00000361359	9606.ENSP00000454207	0	0	0	0	0.062	0.876	0.900	0.934	0.999
CD40LG	TNFRSF1A	9606.ENSP00000359663	9606.ENSP00000162749	0	0	0	0	0	0	0	0.651	0.651
CD40LG	NFKBIA	9606.ENSP00000359663	9606.ENSP00000216797	0	0	0	0	0	0.059	0.900	0.329	0.931
CD40LG	RELB	9606.ENSP00000359663	9606.ENSP00000221452	0	0	0	0	0	0	0	0.560	0.560
CD40LG	NFKB1	9606.ENSP00000359663	9606.ENSP00000226574	0	0	0	0	0	0.059	0.900	0.397	0.938
CD40LG	TRAF2	9606.ENSP00000359663	9606.ENSP00000247668	0	0	0	0	0	0.316	0.900	0.415	0.956
CD40LG	TRAF5	9606.ENSP00000359663	9606.ENSP00000261464	0	0	0	0	0	0.057	0	0.495	0.503
CD40LG	IL1B	9606.ENSP00000359663	9606.ENSP00000263341	0	0	0	0	0	0	0	0.568	0.568
CD40LG	ICAM1	9606.ENSP00000359663	9606.ENSP00000264832	0	0	0	0	0	0	0	0.816	0.816
CD40LG	ZAP70	9606.ENSP00000359663	9606.ENSP00000264972	0	0	0	0	0.255	0.072	0	0.503	0.626
CD40LG	TNFRSF13C	9606.ENSP00000359663	9606.ENSP00000291232	0	0	0	0	0.081	0	0.900	0.574	0.957
CD40LG	VCAM1	9606.ENSP00000359663	9606.ENSP00000294728	0	0	0	0	0.085	0	0	0.845	0.852
CD40LG	CXCL8	9606.ENSP00000359663	9606.ENSP00000306512	0	0	0	0	0.061	0	0	0.669	0.676
CD40LG	LCK	9606.ENSP00000359663	9606.ENSP00000337825	0	0	0	0	0.107	0.072	0	0.427	0.484
CD40LG	PTGS2	9606.ENSP00000359663	9606.ENSP00000356438	0	0	0	0	0	0.056	0	0.399	0.408
CD40LG	NFKB2	9606.ENSP00000359663	9606.ENSP00000358983	0	0	0	0	0	0.059	0	0.553	0.561
CD40LG	LYN	9606.ENSP00000359663	9606.ENSP00000428924	0	0	0	0	0	0.072	0	0.411	0.430
CD40LG	IL1R1	9606.ENSP00000359663	9606.ENSP00000386380	0	0	0	0	0	0	0	0.440	0.440
CD40LG	CXCL1	9606.ENSP00000359663	9606.ENSP00000379110	0	0	0	0	0	0	0	0.484	0.484
CD40LG	MYD88	9606.ENSP00000359663	9606.ENSP00000401399	0	0	0	0	0	0	0	0.549	0.549
CD40LG	SYK	9606.ENSP00000359663	9606.ENSP00000364907	0	0	0	0	0.150	0.072	0	0.479	0.553
CD40LG	IKBKG	9606.ENSP00000359663	9606.ENSP00000483825	0	0	0	0	0.088	0	0	0.530	0.553
CD40LG	CXCL12	9606.ENSP00000359663	9606.ENSP00000379140	0	0	0	0	0	0.162	0	0.527	0.586
CD40LG	TLR4	9606.ENSP00000359663	9606.ENSP00000363089	0	0	0	0	0.062	0	0	0.670	0.677
CD40LG	MAP3K14	9606.ENSP00000359663	9606.ENSP00000482657	0	0	0	0	0.061	0	0.900	0.220	0.920
CD40LG	TNFRSF11A	9606.ENSP00000359663	9606.ENSP00000465500	0	0	0	0	0	0	0.900	0.272	0.924
CD40LG	TNFSF11	9606.ENSP00000359663	9606.ENSP00000381775	0	0	0	0.592	0.063	0	0.900	0.587	0.924
CD40LG	LTB	9606.ENSP00000359663	9606.ENSP00000410481	0	0	0	0	0.150	0	0.900	0.312	0.936
CD40LG	TNFSF14	9606.ENSP00000359663	9606.ENSP00000469049	0	0	0	0	0.089	0	0.900	0.423	0.942
CD40LG	RELA	9606.ENSP00000359663	9606.ENSP00000384273	0	0	0	0	0	0	0.900	0.477	0.945
CD40LG	LTA	9606.ENSP00000359663	9606.ENSP00000403495	0	0	0	0	0.098	0	0.900	0.472	0.948
CD40LG	TRAF3	9606.ENSP00000359663	9606.ENSP00000454207	0	0	0	0	0	0.057	0.900	0.563	0.955
